mode,site,role,direction,status,recoveries,reps_completed,exact95_lower,power_pass,median_delta_ll,components,largest_component_rows,largest_component_share,folds,train_site,test_site
transfer,,SR02,suffix,SCORED,99.0,100.0,0.9455406146079194,True,5.798468523749048,,,,,Pylos,Knossos
transfer,,SR02,suffix,SCORED,98.0,100.0,0.9296160675289299,True,3.3183183562105136,,,,,Knossos,Pylos
transfer,,SR02,prefix,SCORED,99.0,100.0,0.9455406146079194,True,5.798468523749048,,,,,Pylos,Knossos
transfer,,SR02,prefix,SCORED,98.0,100.0,0.9296160675289299,True,3.3183183562105136,,,,,Knossos,Pylos
transfer,,SR03,suffix,SCORED,97.0,100.0,0.91482394702572,True,7.109033606141527,,,,,Pylos,Knossos
transfer,,SR03,suffix,SCORED,97.0,100.0,0.91482394702572,True,3.3939688703814617,,,,,Knossos,Pylos
transfer,,SR03,prefix,SCORED,97.0,100.0,0.91482394702572,True,7.109033606141527,,,,,Pylos,Knossos
transfer,,SR03,prefix,SCORED,97.0,100.0,0.91482394702572,True,3.3939688703814617,,,,,Knossos,Pylos
transfer,,SR05,suffix,SCORED,83.0,100.0,0.7418245893678412,True,2.1376575077376323,,,,,Pylos,Knossos
transfer,,SR05,suffix,SCORED,87.0,100.0,0.7879593229125502,True,5.828249784769776,,,,,Knossos,Pylos
transfer,,SR05,prefix,SCORED,83.0,100.0,0.7418245893678412,True,2.1376575077376323,,,,,Pylos,Knossos
transfer,,SR05,prefix,SCORED,87.0,100.0,0.7879593229125502,True,5.828249784769776,,,,,Knossos,Pylos
transfer,,SR09,suffix,SCORED,93.0,100.0,0.8610802715441427,True,8.852022342576294,,,,,Pylos,Knossos
transfer,,SR09,suffix,SCORED,86.0,100.0,0.7762720186294323,True,1.7082534799447922,,,,,Knossos,Pylos
transfer,,SR09,prefix,SCORED,93.0,100.0,0.8610802715441427,True,8.852022342576294,,,,,Pylos,Knossos
transfer,,SR09,prefix,SCORED,86.0,100.0,0.7762720186294323,True,1.7082534799447922,,,,,Knossos,Pylos
