stem,ending,variant,occurrences,site_count,sites,scribe_count,scribes,supports,warning_classes,manual_tier,manual_adjudication,manual_reason
DA-JU,TE,DA-JU-TE,1,1,HAGHIA TRIADA,0,,TABLET,,,,
DA-KU,NA,DA-KU-NA,1,1,HAGHIA TRIADA,1,HT SCRIBE 3,TABLET,,B,candidate,Shows formal extension but bare form is on a bronze double axe while extended form is administrative
DA-KU-SE,NE,DA-KU-SE-NE,1,1,HAGHIA TRIADA,1,HT SCRIBE 3,TABLET,,,,
DA-KU-SE-NE,TI,DA-KU-SE-NE-TI,1,1,HAGHIA TRIADA,1,HT SCRIBE 5,TABLET,,A,positive,Exact final TI extension across scribes survives; retain explicit segmentation caveat
DA-MA,TE,DA-MA-TE,1,1,KYTHERA,0,,STONE VESSEL,,,,
DA-MI,NU,DA-MI-NU,1,1,HAGHIA TRIADA,1,HT SCRIBE 9,TABLET,,,,
DA-NA,SI,DA-NA-SI,1,1,HAGHIA TRIADA,0,,TABLET,,,,
DA-NA,TU,DA-NA-TU,1,1,ARKHALKHORI,0,,TABLET,,,,
DA-NE-KU,TI,DA-NE-KU-TI,1,1,HAGHIA TRIADA,1,HT SCRIBE 9,TABLET,,,,
DA-QE,RA,DA-QE-RA,2,1,HAGHIA TRIADA,1,HT SCRIBE 6,TABLET,,,,
DA-RI,DA,DA-RI-DA,4,1,HAGHIA TRIADA,2,HT SCRIBE 5|HT SCRIBE 9,TABLET,,,,
DA-RO,PA,DA-RO-PA,1,1,HAGHIA TRIADA,1,HT SCRIBE 8,TABLET,,,,
DA-RU,*329,DA-RU-*329,1,1,HAGHIA TRIADA,1,HT SCRIBE 11,TABLET,,,,
DA-RU-NE,TE,DA-RU-NE-TE,1,1,HAGHIA TRIADA,0,,TABLET,,,,
DA-SE-RA,TE,DA-SE-RA-TE,1,1,SYME,0,,STONE VESSEL,,,,
DA-SI,*118,DA-SI-*118,4,1,HAGHIA TRIADA,3,HT SCRIBE 2|HT SCRIBE 8|HT SCRIBE 9,TABLET,,,,
DA-TA,RA,DA-TA-RA,1,1,HAGHIA TRIADA,0,,TABLET,,,,
DA-TA,RE,DA-TA-RE,1,1,HAGHIA TRIADA,1,HT SCRIBE 7,TABLET,,,,
DA-U,*49,DA-U-*49,1,1,HAGHIA TRIADA,1,HT SCRIBE 6,TABLET,,,,
DE-JU,KU,DE-JU-KU,1,1,HAGHIA TRIADA,1,HT SCRIBE 5,TABLET,,,,
DE-KI,TI,DE-KI-TI,1,1,KHANIA,0,,TABLET,,,,
DI-DE,RU,DI-DE-RU,3,1,HAGHIA TRIADA,1,HT SCRIBE 6,TABLET,,,,
DI-DI-KA,SE,DI-DI-KA-SE,1,1,ZAKROS,0,,CLAY VESSEL,,,,
DI-DI-KO-RA-ME,TA2,DI-DI-KO-RA-ME-TA2,1,1,ZAKROS,1,ZA SCRIBE 2,TABLET,,,,
DI-DI-ZA,KE,DI-DI-ZA-KE,1,1,HAGHIA TRIADA,1,HT SCRIBE 21,TABLET,,,,
DI-KI,SE,DI-KI-SE,2,1,HAGHIA TRIADA,1,HT SCRIBE 9,TABLET,,,,
DI-NA,RO,DI-NA-RO,1,1,HAGHIA TRIADA,1,HT SCRIBE 2,TABLET,,rejected,rejected,Upstream cleaned transliteration flattened damaged boundaries and created a false exact pair
DI-NA,U,DI-NA-U,5,2,HAGHIA TRIADA|KNOSSOS,1,HT SCRIBE 10,CLAY VESSEL|TABLET,,,,
DI-RE-DI,NA,DI-RE-DI-NA,1,1,HAGHIA TRIADA,0,,TABLET,,,,
DI-RI,NA,DI-RI-NA,2,1,HAGHIA TRIADA,1,HT SCRIBE 5,TABLET,,,,
DU-*314,RE,DU-*314-RE,1,1,KOPHINAS,0,,STONE VESSEL,,,,
DU-DA,MA,DU-DA-MA,1,1,HAGHIA TRIADA,0,,TABLET,,,,
DU-MA-I,NA,DU-MA-I-NA,1,1,HAGHIA TRIADA,1,HT SCRIBE 6,TABLET,,,,
DU-ME,DI,DU-ME-DI,1,1,HAGHIA TRIADA,1,HT SCRIBE 18,TABLET,,,,
DU-MI-TA-TI,RA2,DU-MI-TA-TI-RA2,1,1,TROY,0,,STONE OBJECT,,,,
DU-PA3,NA,DU-PA3-NA,1,1,HAGHIA TRIADA,1,HT SCRIBE 8,TABLET,,,,
DU-RA,RE,DU-RA-RE,1,1,KNOSSOS,0,,INKED INSCRIPTION,,rejected,rejected,Left boundary of the supposed base is insecure
DU-RE-ZA,SE,DU-RE-ZA-SE,2,1,ZAKROS,1,ZA SCRIBE 4,TABLET,,,,
DU-SU,NI,DU-SU-NI,1,1,HAGHIA TRIADA,1,HT SCRIBE 2,TABLET,,,,
DU-ZU,WA,DU-ZU-WA,1,1,HAGHIA TRIADA,0,,TABLET,,,,
E-NA,SI,E-NA-SI,1,1,KHANIA,1,KH SCRIBE 2,TABLET,,,,
E-TA2,QE,E-TA2-QE,1,1,PHAISTOS,0,,NODULE,,,,
E-TO,RI,E-TO-RI,1,1,ZAKROS,1,ZA SCRIBE 2,TABLET,,,,
I-DA,A,I-DA-A,1,1,KOPHINAS,0,,STONE VESSEL,,B,candidate,"Complete I-DA-A occurs in the libation formula on KOZa1; common stem identity with complete ritual I-DA is plausible, but ending function and exact slot equivalence remain unresolved"
I-DA,DA,I-DA-DA,1,1,CRETE,0,,STONE OBJECT,,C,comparison-only,"I-DA-DA is securely read on CRZg4, but support and documentary context do not independently establish the same lexical item"
I-DA,MI,I-DA-MI,1,1,SYME,0,,STONE VESSEL,,A,positive,PKZa18 and SYZa1 place complete I-DA / I-DA-MI between dividers in closely comparable ritual formula positions before JA- material
I-DA-MA,TE,I-DA-MA-TE,1,1,ARKHALKHORI,1,AR SCRIBE 1,METAL OBJECT,,,,
I-DA-PA3-I-SA,RI,I-DA-PA3-I-SA-RI,1,1,PHAISTOS,0,,TABLET,,,,
I-DU,TI,I-DU-TI,1,1,HAGHIA TRIADA,1,HT SCRIBE 5,TABLET,,,,
I-DU-NE,SI,I-DU-NE-SI,1,1,HAGHIA TRIADA,1,HT SCRIBE 8,TABLET,,,,
I-JA,TE,I-JA-TE,1,1,PHAISTOS,0,,CLAY VESSEL,,C,comparison-only,Secure sign-level resemblance but no contextual evidence establishes I-JA-TE as a TE-derivative of I-JA
I-JA-PA,ME,I-JA-PA-ME,1,1,KHANIA,1,KH SCRIBE 2,TABLET,,,,
I-KI-RU,QE,I-KI-RU-QE,1,1,THERA,0,,TRITON,,,,
I-KU,TA,I-KU-TA,1,1,HAGHIA TRIADA,0,,TABLET,,,,
I-KU-JU-TI,*28B,I-KU-JU-TI-*28B,1,1,ZAKROS,1,ZA SCRIBE 1,TABLET,,,,
I-KU-PA3-NA-TU-NA,TE,I-KU-PA3-NA-TU-NA-TE,1,1,APODOULOU,0,,STONE VESSEL,,,,
I-KU-RI,NA,I-KU-RI-NA,1,1,HAGHIA TRIADA,1,HT SCRIBE 2,TABLET,,,,
I-NA,WA,I-NA-WA,1,1,PHAISTOS,0,,TABLET,,,,
I-NA-JA-PA,QA,I-NA-JA-PA-QA,1,1,PALAIKASTRO,0,,STONE VESSEL,,,,
I-NA-TA-I-ZU-DI-SI,KA,I-NA-TA-I-ZU-DI-SI-KA,1,1,IOUKTAS,0,,STONE VESSEL,,,,
I-PA-SA,JA,I-PA-SA-JA,1,1,KHANIA,1,KH SCRIBE 5,TABLET,,,,
I-PI-NA,MA,I-PI-NA-MA,2,2,KOPHINAS|TROULLOS,0,,STONE VESSEL,,,,
I-PI-NA-MI,NA,I-PI-NA-MI-NA,1,1,PALAIKASTRO,0,,STONE VESSEL,,,,
I-QA,*118,I-QA-*118,2,1,HAGHIA TRIADA,0,,TABLET,,,,
I-RU,JA,I-RU-JA,1,1,HAGHIA TRIADA,1,HT SCRIBE 11,TABLET,,,,
I-SA-RI,KE,I-SA-RI-KE,1,1,PHAISTOS,0,,TABLET,,,,
I-TA,JA,I-TA-JA,1,1,HAGHIA TRIADA,1,HT SCRIBE 13,TABLET,,,,
I-TI-NI,SA,I-TI-NI-SA,1,1,ZAKROS,1,ZA SCRIBE 5,TABLET,,,,
I-TI-TI-KU,NI,I-TI-TI-KU-NI,1,1,HAGHIA TRIADA,1,HT SCRIBE 8,TABLET,,,,
I-WA,JA,I-WA-JA,1,1,KNOSSOS,0,,ARCHITECTURE,,,,
I-ZU-RI-NI,TA,I-ZU-RI-NI-TA,1,1,PHAISTOS,0,,TABLET,,,,
JA-DI-KI,TU,JA-DI-KI-TU,1,1,IOUKTAS,0,,STONE VESSEL,,,,
JA-DI-KI-TE-TE-*307-PU2,RE,JA-DI-KI-TE-TE-*307-PU2-RE,1,1,PALAIKASTRO,0,,STONE VESSEL,,,,
JA-DI-KI-TE-TE-DU-PU2,RE,JA-DI-KI-TE-TE-DU-PU2-RE,1,1,PALAIKASTRO,0,,STONE VESSEL,,,,
JA-DU-RA,TI,JA-DU-RA-TI,1,1,KNOSSOS,0,,TABLET,,,,
JA-I-NWA,ZA,JA-I-NWA-ZA,1,1,SYME,0,,STONE VESSEL,,,,
JA-KI,PA3,JA-KI-PA3,1,1,PHAISTOS,0,,TABLET,,,,
JA-KI-SI-KI,NU,JA-KI-SI-KI-NU,1,1,ARKHALKHORI,0,,METAL OBJECT,,,,
JA-KU,TI,JA-KU-TI,1,1,KNOSSOS,0,,TABLET,,B,candidate,Secure exact final extension; lexical identity and grammatical role unresolved
JA-MA-U,TI,JA-MA-U-TI,1,1,MALIA,0,,3-SIDED BAR,,,,
JA-MI-DA,RE,JA-MI-DA-RE,1,1,HAGHIA TRIADA,1,HT SCRIBE 9,TABLET,,,,
JA-PA-RA-JA,SE,JA-PA-RA-JA-SE,1,1,SYME,0,,STONE VESSEL,,,,
JA-RE,MI,JA-RE-MI,1,1,HAGHIA TRIADA,1,HT SCRIBE 9,TABLET,,not-comparable,rejected,Normalized ARKH1b JA-RE changes the first sign and drops the insecure left boundary preserved as ]PA-RE; exact MI pair invalid
JA-SA,JA,JA-SA-JA,1,1,KNOSSOS,0,,STONE OBJECT,,rejected,rejected,IO Za12 explicitly continues JA-SA-|SA-RA-ME across faces; SAM Wa1 belongs to the same seal/formula family; no secure free JA-SA base is established
JA-SA,MU,JA-SA-MU,1,1,ZAKROS,1,ZA SCRIBE 5,TABLET,,,,
JA-SA-RA-A-NA,NE,JA-SA-RA-A-NA-NE,1,1,KNOSSOS,0,,INKED INSCRIPTION,,,,
JA-SA-SA-RA,ME,JA-SA-SA-RA-ME,7,5,IOUKTAS|PALAIKASTRO|PLATANOS|PSYKHRO|TROULLOS,1,PS SCRIBE 1,METAL OBJECT|STONE VESSEL,,rejected,IOZa16 breaks JA-SA-SA-RA- / -ME across faces; commentary explicitly reconstructs one full JA-SA-SA-RA-ME word,audits/ME.md; IOZa16 GORILA-derived commentary
JA-SA-U-NA-KA-NA,SI,JA-SA-U-NA-KA-NA-SI,1,1,PALAIKASTRO,0,,STONE VESSEL,,,,
JA-SI,E,JA-SI-E,1,1,KEA,0,,CLAY VESSEL,,,,
JA-TA-I-*301-U,JA,JA-TA-I-*301-U-JA,1,1,APODOULOU,0,,STONE VESSEL,,,,
JA-TI-TU,KU,JA-TI-TU-KU,1,1,LARANI,0,,CLAY VESSEL,,,,
JA-WA,PA3,JA-WA-PA3,1,1,SYME,0,,STONE VESSEL,,,,
JA-WA,PI,JA-WA-PI,1,1,PETRAS,0,,CLAY VESSEL,,,,
JE-TA,NA,JE-TA-NA,1,1,HAGHIA TRIADA,0,,NODULE,,,,
JU-KU-NA-PA-KU-NU-U-I,ZU,JU-KU-NA-PA-KU-NU-U-I-ZU,1,1,KNOSSOS,0,,INKED INSCRIPTION,,,,
KA-*314,SI,KA-*314-SI,1,1,PHAISTOS,0,,ROUNDEL,,,,
KA-A-SI,TE,KA-A-SI-TE,1,1,THERA,0,,CLAY VESSEL,,,,
KA-DU-MA,NE,KA-DU-MA-NE,1,1,HAGHIA TRIADA,0,,TABLET,,,,
KA-I,RO,KA-I-RO,1,1,ZAKROS,1,ZA SCRIBE 2,TABLET,,,,
KA-KU,PA,KA-KU-PA,3,1,HAGHIA TRIADA,2,HT SCRIBE 10|HT WC SCRIBE 11,ROUNDEL|TABLET,,B,candidate,Complete base and repeatedly attested extended form support common lexical identity; role difference leaves function unresolved
KA-KU-NE,TE,KA-KU-NE-TE,1,1,ZAKROS,1,ZA SCRIBE 4,TABLET,,,,
KA-NA-NI,TI,KA-NA-NI-TI,1,1,KHANIA,0,,ROUNDEL,,,,
KA-NI-JA,MI,KA-NI-JA-MI,1,1,CRETE,0,,METAL OBJECT,,,,
KA-NU,TI,KA-NU-TI,1,1,HAGHIA TRIADA,1,HT SCRIBE 7,TABLET,,,,
KA-PA,QE,KA-PA-QE,1,1,HAGHIA TRIADA,0,,TABLET,,A,positive,Complete exact same-tablet extension in one scribal production; function unknown
KA-PO,RU,KA-PO-RU,1,1,HAGHIA TRIADA,1,HT SCRIBE 8,TABLET,,,,
KA-RE,RO,KA-RE-RO,1,1,HAGHIA TRIADA,0,,ROUNDEL,,,,
KA-RI-*310,I,KA-RI-*310-I,1,1,HAGHIA TRIADA,0,,TABLET,,,,
KA-RO,NA,KA-RO-NA,1,1,HAGHIA TRIADA,1,HT SCRIBE 24,TABLET,,,,
KA-SA,RU,KA-SA-RU,1,1,HAGHIA TRIADA,0,,TABLET,,,,
KA-SI-A,TE,KA-SI-A-TE,1,1,KNOSSOS,0,,ARCHITECTURE,,,,
KA-U-DE,TA,KA-U-DE-TA,1,1,HAGHIA TRIADA,1,HT SCRIBE 8,TABLET,,,,
KA-U-ZU,NI,KA-U-ZU-NI,1,1,HAGHIA TRIADA,1,HT SCRIBE 3,TABLET,,,,
KE-KI,RU,KE-KI-RU,1,1,HAGHIA TRIADA,1,HT SCRIBE 9,TABLET,,,,
KE-SI,TE,KE-SI-TE,1,1,KNOSSOS,0,,ARCHITECTURE,,,,
KI-*310,RE,KI-*310-RE,1,1,HAGHIA TRIADA,0,,TABLET,,rejected,rejected,Left boundary of the supposed base is insecure
KI-DA,RO,KI-DA-RO,1,1,HAGHIA TRIADA,1,HT SCRIBE 9,TABLET,,rejected,rejected,Automatic exact pair was manufactured by damage flattening; KI-DA-RO also has strong Linear B onomastic continuity
KI-DA,TA,KI-DA-TA,1,1,HAGHIA TRIADA,1,HT SCRIBE 2,TABLET,,,,
KI-DE-MA-*323,NA,KI-DE-MA-*323-NA,1,1,HAGHIA TRIADA,1,HT SCRIBE 12,TABLET,,,,
KI-DI,NI,KI-DI-NI,1,1,HAGHIA TRIADA,1,HT SCRIBE 5,TABLET,,,,
KI-KI,NA,KI-KI-NA,1,1,HAGHIA TRIADA,1,HT SCRIBE 7,TABLET,,,,
